Date,N1,N2,N3,N4,N5,MEGA_BALL
7-Oct-2016,24,37,42,50,65,14
11-Oct-2016,36,39,42,45,48,3
14-Oct-2016,7,27,60,64,74,5
18-Oct-2016,7,24,28,65,74,1
21-Oct-2016,12,43,44,48,66,3
25-Oct-2016,8,9,24,49,67,13
28-Oct-2016,7,38,46,57,66,2
1-Nov-2016,19,24,31,39,45,13
4-Nov-2016,10,29,32,44,46,10
8-Nov-2016,46,48,53,61,74,12
11-Nov-2016,16,40,47,53,59,11
15-Nov-2016,9,17,23,57,71,6
18-Nov-2016,31,32,49,55,58,15
22-Nov-2016,1,43,45,66,69,7
25-Nov-2016,44,47,49,69,75,10
29-Nov-2016,22,33,49,51,59,8
2-Dec-2016,3,33,35,49,51,1
6-Dec-2016,13,34,48,53,63,12
9-Dec-2016,19,27,47,67,68,1
13-Dec-2016,2,15,26,34,41,14
16-Dec-2016,1,8,15,36,43,6
20-Dec-2016,1,12,14,48,65,2
23-Dec-2016,21,30,39,60,69,15
27-Dec-2016,2,28,30,38,39,11
30-Dec-2016,6,21,33,39,43,2
3-Jan-2017,14,16,23,49,53,12
6-Jan-2017,6,10,44,47,54,6
10-Jan-2017,11,20,40,41,59,15
13-Jan-2017,10,44,58,74,75,11
17-Jan-2017,20,31,54,56,59,3
20-Jan-2017,7,9,24,41,53,14
24-Jan-2017,8,42,54,63,67,11
27-Jan-2017,17,37,53,54,61,8
31-Jan-2017,3,14,27,62,72,4
3-Feb-2017,3,6,29,30,64,3
7-Feb-2017,23,28,37,56,71,12
10-Feb-2017,32,39,51,62,75,14
14-Feb-2017,7,11,33,60,68,15
17-Feb-2017,4,56,58,67,75,8
21-Feb-2017,9,21,30,32,75,9
24-Feb-2017,12,29,33,42,68,14
28-Feb-2017,20,33,45,58,69,4
3-Mar-2017,14,26,39,48,51,9
7-Mar-2017,3,30,45,53,68,11
10-Mar-2017,26,38,42,58,70,5
14-Mar-2017,16,23,28,33,59,13
17-Mar-2017,11,27,31,58,60,10
21-Mar-2017,4,45,53,73,75,7
24-Mar-2017,5,28,37,61,69,1
28-Mar-2017,30,33,35,37,46,10
31-Mar-2017,17,24,27,32,58,10
4-Apr-2017,13,24,34,35,55,9
7-Apr-2017,30,33,43,47,69,15
11-Apr-2017,19,34,35,38,49,8
14-Apr-2017,5,10,55,60,73,12
18-Apr-2017,8,29,30,43,64,6
21-Apr-2017,1,12,13,32,34,10
25-Apr-2017,3,13,33,40,50,2
28-Apr-2017,6,13,18,20,31,13
2-May-2017,5,14,42,43,58,1
5-May-2017,4,23,33,47,53,7
9-May-2017,6,29,45,69,73,11
12-May-2017,28,34,41,42,47,13
16-May-2017,4,35,39,56,72,11
19-May-2017,1,4,5,24,30,1
23-May-2017,6,13,17,33,60,14
26-May-2017,25,26,28,37,56,5
30-May-2017,5,20,32,37,67,5
2-Jun-2017,7,42,57,69,72,10
6-Jun-2017,3,5,16,49,75,5
9-Jun-2017,3,16,28,33,37,9
13-Jun-2017,27,51,62,68,75,8
16-Jun-2017,18,22,26,30,44,9
20-Jun-2017,2,15,41,49,63,3
23-Jun-2017,12,20,53,66,74,11
27-Jun-2017,4,21,45,52,57,14
30-Jun-2017,10,38,51,55,64,6
4-Jul-2017,16,39,47,53,71,15
7-Jul-2017,2,9,11,28,60,10
11-Jul-2017,7,18,24,55,74,10
14-Jul-2017,11,12,24,32,73,1
18-Jul-2017,8,12,23,51,73,6
21-Jul-2017,18,31,36,50,74,10
25-Jul-2017,2,5,26,58,60,6
28-Jul-2017,4,6,31,49,52,11
1-Aug-2017,20,22,52,57,73,7
4-Aug-2017,9,17,25,63,71,4
8-Aug-2017,11,17,50,52,74,14
11-Aug-2017,23,33,53,56,58,6
15-Aug-2017,7,16,20,66,73,7
18-Aug-2017,1,31,34,40,75,6
22-Aug-2017,24,35,46,50,51,7
25-Aug-2017,17,38,42,51,65,11
29-Aug-2017,2,13,17,35,73,3
1-Sep-2017,4,13,31,50,64,12
5-Sep-2017,11,17,59,70,72,1
8-Sep-2017,4,5,14,26,73,14
12-Sep-2017,26,37,41,54,65,3
15-Sep-2017,18,24,34,38,58,3
19-Sep-2017,9,28,31,50,61,10
22-Sep-2017,5,39,54,63,66,15
26-Sep-2017,1,10,57,66,75,4
29-Sep-2017,25,51,62,73,74,7
3-Oct-2017,12,18,19,25,67,7
6-Oct-2017,21,33,36,45,56,12
10-Oct-2017,7,16,24,61,62,2
13-Oct-2017,2,7,18,26,31,12
17-Oct-2017,31,45,49,56,70,11
20-Oct-2017,6,23,63,66,73,9
24-Oct-2017,20,24,34,56,64,6
27-Oct-2017,17,27,41,51,52,13
31-Oct-2017,6,28,31,52,53,12
3-Nov-2017,10,22,42,61,69,3
7-Nov-2017,1,54,60,68,69,11
10-Nov-2017,6,23,38,42,58,24
14-Nov-2017,1,14,21,22,28,19
17-Nov-2017,3,26,55,58,70,15
21-Nov-2017,3,7,22,27,50,3
24-Nov-2017,16,36,54,61,64,22
28-Nov-2017,10,17,47,51,61,5
1-Dec-2017,16,22,40,41,59,8
5-Dec-2017,14,15,37,42,67,22
8-Dec-2017,6,37,46,60,70,24
12-Dec-2017,8,23,24,25,27,9
15-Dec-2017,4,12,36,44,57,19
19-Dec-2017,28,37,39,42,58,2
22-Dec-2017,1,20,30,33,42,16
26-Dec-2017,10,12,20,38,41,25
29-Dec-2017,4,10,18,28,62,7
2-Jan-2018,1,42,47,64,70,22
5-Jan-2018,28,30,39,59,70,10
9-Jan-2018,16,29,31,65,67,23
12-Jan-2018,17,18,33,46,60,24
16-Jan-2018,3,11,23,29,59,18
19-Jan-2018,3,17,23,49,66,23
23-Jan-2018,2,6,30,31,55,7
26-Jan-2018,10,16,27,38,43,1
30-Jan-2018,29,41,42,49,57,24
2-Feb-2018,1,4,14,17,40,4
6-Feb-2018,14,17,25,48,58,25
9-Feb-2018,28,34,41,46,47,14
13-Feb-2018,5,12,15,46,49,1
16-Feb-2018,14,38,48,53,58,16
20-Feb-2018,17,19,23,24,43,14
23-Feb-2018,7,11,13,19,58,9
27-Feb-2018,10,17,21,38,43,23
2-Mar-2018,24,28,42,60,64,8
6-Mar-2018,1,4,26,35,39,22
9-Mar-2018,7,17,18,46,66,22
13-Mar-2018,6,30,58,60,61,17
16-Mar-2018,1,13,26,33,52,11
20-Mar-2018,14,38,51,64,70,9
23-Mar-2018,4,8,23,53,59,17
27-Mar-2018,7,25,43,56,59,13
30-Mar-2018,11,28,31,46,59,1
3-Apr-2018,4,29,39,42,62,14
6-Apr-2018,16,33,51,54,67,20
10-Apr-2018,5,13,31,43,53,20
13-Apr-2018,8,9,32,42,59,10
17-Apr-2018,12,34,44,47,65,22
20-Apr-2018,1,15,18,32,45,4
24-Apr-2018,3,19,31,32,48,10
27-Apr-2018,2,29,38,63,66,11
1-May-2018,2,7,20,55,70,1
4-May-2018,4,5,10,12,18,21
8-May-2018,8,15,39,64,67,13
11-May-2018,14,38,40,53,70,22
15-May-2018,21,34,44,49,61,21
18-May-2018,9,26,53,64,66,11
22-May-2018,16,17,21,36,48,9
25-May-2018,11,14,51,64,68,25
29-May-2018,2,11,55,58,67,2
1-Jun-2018,5,24,52,62,66,17
5-Jun-2018,22,33,41,48,52,4
8-Jun-2018,14,30,33,44,56,13
12-Jun-2018,1,3,5,8,70,3
15-Jun-2018,1,11,37,47,51,6
19-Jun-2018,11,13,28,65,70,14
22-Jun-2018,2,6,11,27,44,20
26-Jun-2018,17,25,29,39,60,19
29-Jun-2018,2,32,47,49,68,23
3-Jul-2018,13,35,45,49,68,23
6-Jul-2018,2,10,46,50,56,16
10-Jul-2018,1,17,28,56,70,14
13-Jul-2018,21,22,39,59,68,2
17-Jul-2018,40,41,61,66,67,12
20-Jul-2018,1,14,30,44,62,1
24-Jul-2018,1,2,4,19,29,20
27-Jul-2018,1,32,40,49,63,20
31-Jul-2018,12,15,35,64,69,9
3-Aug-2018,9,28,30,54,60,2
7-Aug-2018,2,13,15,21,62,2
10-Aug-2018,1,3,12,22,42,6
14-Aug-2018,11,26,44,45,46,11
17-Aug-2018,1,31,32,47,56,3
21-Aug-2018,14,16,19,38,57,11
24-Aug-2018,1,6,13,18,49,8
28-Aug-2018,3,20,33,34,41,20
31-Aug-2018,7,18,29,32,45,17
4-Sep-2018,2,7,25,35,44,3
7-Sep-2018,8,10,41,54,68,10
11-Sep-2018,15,30,51,62,67,19
14-Sep-2018,23,30,40,43,66,13
18-Sep-2018,31,32,43,63,68,17
21-Sep-2018,1,2,11,52,64,9
25-Sep-2018,8,16,32,48,61,12
28-Sep-2018,39,45,52,56,59,15
2-Oct-2018,2,22,29,31,34,1
5-Oct-2018,27,28,32,41,69,12
9-Oct-2018,20,22,39,54,60,18
12-Oct-2018,4,24,46,61,70,7
16-Oct-2018,3,45,49,61,69,9
19-Oct-2018,15,23,53,65,70,7
23-Oct-2018,5,28,62,65,70,5
26-Oct-2018,1,28,61,62,63,5
30-Oct-2018,20,31,39,46,49,23
2-Nov-2018,3,23,28,46,62,16
6-Nov-2018,28,34,37,56,69,12
9-Nov-2018,8,14,27,57,67,5
13-Nov-2018,34,46,57,65,69,11
16-Nov-2018,33,36,63,68,69,16
20-Nov-2018,10,16,31,42,66,10
23-Nov-2018,7,10,30,33,59,23
27-Nov-2018,12,24,37,42,57,18
30-Nov-2018,25,28,40,43,63,19
4-Dec-2018,28,31,41,42,50,4
7-Dec-2018,4,10,20,33,57,13
11-Dec-2018,4,38,39,54,59,12
14-Dec-2018,5,22,26,43,49,23
18-Dec-2018,13,22,32,60,69,9
21-Dec-2018,10,13,61,62,70,5
25-Dec-2018,2,8,42,43,50,6
28-Dec-2018,9,10,25,37,38,21
1-Jan-2019,34,44,57,62,70,14
4-Jan-2019,21,29,35,54,60,15
8-Jan-2019,13,26,29,38,64,5
11-Jan-2019,4,5,31,62,69,20
15-Jan-2019,29,52,58,60,62,7
18-Jan-2019,2,43,48,62,64,24
22-Jan-2019,4,15,37,59,64,16
25-Jan-2019,8,16,30,38,61,10
29-Jan-2019,10,33,53,54,62,22
1-Feb-2019,2,37,48,66,68,11
5-Feb-2019,3,34,36,59,66,7
8-Feb-2019,14,24,31,42,48,13
12-Feb-2019,15,32,39,50,65,7
15-Feb-2019,10,38,40,43,65,12
19-Feb-2019,17,24,34,56,65,3
22-Feb-2019,18,24,31,34,55,4
26-Feb-2019,10,12,14,24,60,20
1-Mar-2019,29,33,39,60,66,21
5-Mar-2019,15,20,32,37,52,6
8-Mar-2019,4,9,42,62,68,7
12-Mar-2019,10,12,16,49,57,18
15-Mar-2019,3,29,56,62,64,4
19-Mar-2019,10,42,53,67,68,15
22-Mar-2019,7,36,58,60,62,10
26-Mar-2019,4,14,22,43,58,9
29-Mar-2019,5,14,15,62,66,3
2-Apr-2019,33,47,58,59,64,25
5-Apr-2019,8,22,24,38,64,21
9-Apr-2019,11,22,34,44,58,9
12-Apr-2019,1,24,25,40,70,4
16-Apr-2019,11,29,34,48,54,10
19-Apr-2019,18,25,43,44,57,25
23-Apr-2019,7,24,30,48,67,9
26-Apr-2019,9,17,23,30,46,10
30-Apr-2019,24,37,41,61,70,20
3-May-2019,8,16,22,66,68,11
7-May-2019,3,6,34,54,63,19
10-May-2019,3,16,21,61,62,19
14-May-2019,11,59,66,67,68,18
17-May-2019,5,17,28,32,63,11
21-May-2019,10,50,55,56,58,15
24-May-2019,14,41,44,56,62,10
28-May-2019,9,21,34,42,50,21
31-May-2019,7,8,26,65,67,4
4-Jun-2019,25,37,46,48,68,25
7-Jun-2019,17,19,27,40,68,2
11-Jun-2019,20,34,39,43,57,13
14-Jun-2019,19,40,47,57,65,6
18-Jun-2019,12,14,22,24,48,21
21-Jun-2019,13,30,36,48,62,18
25-Jun-2019,24,33,45,47,61,17
28-Jun-2019,2,35,49,53,63,1
2-Jul-2019,3,25,37,40,55,13
5-Jul-2019,6,38,47,57,63,12
9-Jul-2019,12,26,40,48,64,1
12-Jul-2019,8,25,38,56,59,7
16-Jul-2019,8,16,31,48,52,23
19-Jul-2019,16,18,28,33,67,14
23-Jul-2019,1,4,23,40,45,11
26-Jul-2019,4,6,11,43,48,11
30-Jul-2019,10,24,28,33,38,6
2-Aug-2019,11,20,26,48,70,19
6-Aug-2019,11,17,31,43,55,16
9-Aug-2019,15,53,56,59,63,1
13-Aug-2019,7,27,31,34,51,5
16-Aug-2019,4,14,24,26,46,14
20-Aug-2019,8,14,25,51,63,4
23-Aug-2019,11,15,37,54,68,21
27-Aug-2019,8,12,23,39,43,6
30-Aug-2019,3,9,11,34,39,10
3-Sep-2019,13,20,27,61,62,5
6-Sep-2019,4,11,13,19,31,10
10-Sep-2019,34,47,48,50,55,24
13-Sep-2019,6,16,37,59,62,5
17-Sep-2019,12,15,30,50,65,1
20-Sep-2019,23,24,42,48,53,22
24-Sep-2019,6,14,24,42,46,9
27-Sep-2019,12,20,31,43,45,20
1-Oct-2019,10,17,39,42,59,3
4-Oct-2019,11,38,44,48,70,17
8-Oct-2019,5,8,10,17,48,23
11-Oct-2019,14,22,30,37,60,8
15-Oct-2019,4,12,14,35,70,2
18-Oct-2019,18,58,60,65,67,20
22-Oct-2019,5,11,14,23,25,10
25-Oct-2019,16,24,25,52,60,6
29-Oct-2019,4,9,17,27,39,22
1-Nov-2019,9,20,36,41,54,22
5-Nov-2019,2,9,24,49,54,19
8-Nov-2019,3,4,10,39,58,14
12-Nov-2019,19,30,44,56,65,24
15-Nov-2019,12,19,34,35,68,20
19-Nov-2019,22,43,44,47,66,22
22-Nov-2019,7,12,17,49,53,24
26-Nov-2019,8,27,29,38,43,13
29-Nov-2019,6,8,31,50,65,9
3-Dec-2019,23,43,60,63,69,19
6-Dec-2019,20,31,40,46,61,20
10-Dec-2019,18,31,46,54,61,25
13-Dec-2019,17,21,29,39,56,22
17-Dec-2019,22,30,53,55,56,16
20-Dec-2019,3,20,23,35,60,16
24-Dec-2019,27,37,48,63,66,11
27-Dec-2019,17,34,40,63,64,24
31-Dec-2019,30,44,49,53,56,11
3-Jan-2020,37,41,42,53,63,16
7-Jan-2020,25,40,41,52,56,21
10-Jan-2020,17,27,49,51,66,2
14-Jan-2020,9,11,13,31,47,11
17-Jan-2020,3,25,30,54,70,9
21-Jan-2020,16,18,29,31,37,8
24-Jan-2020,3,4,18,23,38,24
28-Jan-2020,17,36,47,51,62,21
31-Jan-2020,28,31,33,57,62,19
4-Feb-2020,32,48,50,51,64,10
7-Feb-2020,9,14,27,36,52,4
11-Feb-2020,4,6,32,52,64,6
14-Feb-2020,10,32,48,54,55,18
18-Feb-2020,6,12,39,61,70,4
21-Feb-2020,4,7,13,16,60,6
25-Feb-2020,2,9,43,49,63,15
28-Feb-2020,2,3,14,41,64,17
3-Mar-2020,8,12,33,56,64,2
6-Mar-2020,15,48,56,58,70,4
10-Mar-2020,6,17,48,54,69,12
13-Mar-2020,7,22,37,43,44,22
17-Mar-2020,20,27,28,58,59,25
20-Mar-2020,34,35,41,45,54,5
24-Mar-2020,2,8,16,18,31,14
27-Mar-2020,3,25,28,50,60,1
31-Mar-2020,8,17,51,57,70,2
3-Apr-2020,24,38,44,57,58,17
7-Apr-2020,25,33,43,51,68,20
10-Apr-2020,2,11,21,57,60,13
14-Apr-2020,29,47,65,69,70,7
17-Apr-2020,13,35,39,46,55,14
21-Apr-2020,13,15,24,67,70,17
24-Apr-2020,1,27,32,60,67,18
28-Apr-2020,13,19,53,54,63,17
1-May-2020,28,30,31,35,66,14
5-May-2020,7,13,17,21,45,14
8-May-2020,5,20,22,61,70,4
12-May-2020,7,16,27,44,52,5
15-May-2020,11,17,32,33,46,25
19-May-2020,8,19,25,36,66,9
22-May-2020,8,10,20,44,46,18
26-May-2020,34,52,58,59,62,4
29-May-2020,10,13,32,41,51,3
2-Jun-2020,9,20,23,26,29,8
5-Jun-2020,32,35,37,47,55,22
9-Jun-2020,1,5,9,10,23,22
12-Jun-2020,9,14,57,67,70,2
16-Jun-2020,21,23,33,35,42,6
19-Jun-2020,11,34,36,52,66,7
23-Jun-2020,6,20,37,40,48,15
26-Jun-2020,19,33,37,56,57,6
30-Jun-2020,9,16,29,37,53,11
3-Jul-2020,20,40,44,45,50,24
7-Jul-2020,16,20,25,30,43,18
10-Jul-2020,10,15,20,49,53,22
14-Jul-2020,6,26,55,56,64,22
17-Jul-2020,12,13,21,46,57,21
21-Jul-2020,14,25,26,41,43,15
24-Jul-2020,8,33,39,54,58,17
28-Jul-2020,17,20,27,31,34,19
31-Jul-2020,12,35,46,48,69,23
4-Aug-2020,2,22,30,42,62,20
7-Aug-2020,4,44,53,64,70,3
11-Aug-2020,8,22,29,43,56,9
14-Aug-2020,3,24,29,42,47,13
18-Aug-2020,4,18,26,27,58,23
21-Aug-2020,11,15,31,42,63,14
25-Aug-2020,8,10,15,17,57,12
28-Aug-2020,3,9,50,53,64,1
1-Sep-2020,15,25,26,38,47,22
4-Sep-2020,19,22,24,28,53,25
8-Sep-2020,7,10,15,31,57,21
11-Sep-2020,3,15,42,48,56,13
15-Sep-2020,25,28,38,59,62,22
18-Sep-2020,26,29,41,52,64,11
22-Sep-2020,36,43,44,55,68,12
25-Sep-2020,20,36,37,48,67,16
29-Sep-2020,14,39,43,44,67,19
2-Oct-2020,9,38,47,49,68,25
6-Oct-2020,15,16,18,39,59,17
9-Oct-2020,5,11,25,27,64,13
13-Oct-2020,11,44,45,46,70,25
16-Oct-2020,27,32,50,52,57,12
20-Oct-2020,46,54,57,58,66,10
23-Oct-2020,18,34,44,60,69,22
27-Oct-2020,6,13,34,46,62,1
30-Oct-2020,14,19,34,39,59,11
3-Nov-2020,7,31,44,45,55,19
6-Nov-2020,18,24,27,34,60,2
10-Nov-2020,23,45,53,58,62,13
13-Nov-2020,6,7,14,28,59,7
17-Nov-2020,8,13,35,46,68,16
20-Nov-2020,26,33,45,61,68,17
24-Nov-2020,9,15,34,61,64,6
27-Nov-2020,4,10,27,35,58,10
1-Dec-2020,7,33,53,61,65,14
4-Dec-2020,3,19,24,44,50,8
8-Dec-2020,15,19,33,39,68,25
11-Dec-2020,19,31,37,55,67,25
15-Dec-2020,1,10,18,20,46,15
18-Dec-2020,7,15,25,51,60,5
22-Dec-2020,29,53,56,59,67,21
25-Dec-2020,17,23,36,69,70,19
29-Dec-2020,1,31,35,48,62,19
1-Jan-2021,8,24,53,68,69,7
5-Jan-2021,20,43,51,55,57,4
8-Jan-2021,3,6,16,18,58,11
12-Jan-2021,12,14,26,28,33,9
15-Jan-2021,3,11,12,38,43,15
19-Jan-2021,10,19,26,28,50,16
22-Jan-2021,4,26,42,50,60,24
26-Jan-2021,29,49,56,66,67,24
29-Jan-2021,4,44,58,59,70,3
2-Feb-2021,13,37,38,40,67,10
5-Feb-2021,14,17,28,29,44,2
9-Feb-2021,7,18,21,31,40,9
12-Feb-2021,5,14,24,25,27,14
16-Feb-2021,1,36,44,54,66,10
19-Feb-2021,27,32,47,50,53,4
23-Feb-2021,5,7,9,20,57,15
26-Feb-2021,11,15,37,62,64,5
2-Mar-2021,4,8,13,34,64,18
5-Mar-2021,10,11,17,27,54,20
9-Mar-2021,4,33,46,58,65,13
12-Mar-2021,2,24,25,31,65,18
16-Mar-2021,10,41,46,52,69,8
19-Mar-2021,9,14,40,58,69,8
23-Mar-2021,12,23,35,38,55,11
26-Mar-2021,4,25,37,46,67,15
30-Mar-2021,11,37,47,53,56,15
2-Apr-2021,10,42,48,53,62,19
6-Apr-2021,1,19,20,32,42,17
9-Apr-2021,22,26,27,58,66,12
13-Apr-2021,10,15,19,45,68,9
16-Apr-2021,17,27,28,50,55,25
20-Apr-2021,6,23,43,49,52,5
23-Apr-2021,4,28,29,30,60,25
27-Apr-2021,15,22,30,41,42,25
30-Apr-2021,8,19,26,48,49,5
4-May-2021,4,27,32,57,63,22
7-May-2021,5,10,19,21,50,10
11-May-2021,7,8,20,36,39,22
14-May-2021,3,18,41,44,68,3
18-May-2021,3,5,56,61,66,4
21-May-2021,6,9,17,18,48,8
25-May-2021,14,21,31,34,54,11
28-May-2021,10,14,20,47,70,15
1-Jun-2021,7,11,33,58,63,23
4-Jun-2021,4,30,34,41,64,8
8-Jun-2021,9,22,39,41,54,19
11-Jun-2021,4,43,56,63,68,13
15-Jun-2021,18,22,27,38,52,11
18-Jun-2021,14,36,44,46,53,18
22-Jun-2021,1,26,48,51,59,25
25-Jun-2021,17,20,42,45,65,12
29-Jun-2021,7,38,50,52,69,21
2-Jul-2021,8,31,32,34,45,19
6-Jul-2021,18,47,63,68,69,14
9-Jul-2021,6,37,39,41,46,17
13-Jul-2021,3,10,17,26,55,24
16-Jul-2021,24,25,47,52,57,24
20-Jul-2021,10,26,30,52,57,10
23-Jul-2021,13,17,19,40,69,17
27-Jul-2021,2,35,36,54,64,11
30-Jul-2021,19,26,31,52,68,10
3-Aug-2021,1,9,17,27,34,24
6-Aug-2021,9,18,40,46,69,9
10-Aug-2021,29,45,50,59,62,12
13-Aug-2021,17,21,35,40,53,11
17-Aug-2021,3,6,16,38,56,24
20-Aug-2021,41,43,51,57,70,1
24-Aug-2021,17,18,26,52,67,19
27-Aug-2021,1,10,44,47,56,23
31-Aug-2021,8,14,31,58,68,15
3-Sep-2021,7,10,12,61,65,3
7-Sep-2021,15,17,25,32,53,12
10-Sep-2021,20,32,35,47,64,18
14-Sep-2021,4,13,19,63,64,16
17-Sep-2021,17,32,40,59,61,18
21-Sep-2021,36,41,45,51,56,13
24-Sep-2021,17,21,27,43,56,15
28-Sep-2021,18,30,43,68,69,22
1-Oct-2021,21,25,36,62,63,6
5-Oct-2021,7,11,18,30,36,4
8-Oct-2021,21,24,36,40,70,22
12-Oct-2021,21,26,56,61,65,4
15-Oct-2021,3,20,31,34,65,18
19-Oct-2021,3,12,13,19,52,1
22-Oct-2021,9,14,26,29,66,22
26-Oct-2021,6,14,19,56,62,9
29-Oct-2021,15,26,28,35,45,4
2-Nov-2021,5,10,26,58,65,9
5-Nov-2021,10,15,20,66,68,18
9-Nov-2021,9,14,16,26,49,14
12-Nov-2021,30,32,42,46,48,15
16-Nov-2021,6,22,44,53,65,3
19-Nov-2021,5,23,52,53,59,18
23-Nov-2021,7,24,54,57,58,6
26-Nov-2021,7,27,37,42,59,2
30-Nov-2021,7,8,26,30,39,17
3-Dec-2021,22,45,48,58,61,13
7-Dec-2021,1,7,40,43,68,1
10-Dec-2021,23,25,40,42,60,8
14-Dec-2021,33,35,44,55,69,20
17-Dec-2021,21,32,38,48,62,10
21-Dec-2021,25,31,58,64,67,24
24-Dec-2021,16,17,25,36,37,16
28-Dec-2021,3,5,8,31,38,4
31-Dec-2021,2,5,30,46,61,8
4-Jan-2022,4,6,16,21,22,1
7-Jan-2022,7,29,43,56,57,6
11-Jan-2022,2,3,19,52,58,16
14-Jan-2022,5,8,13,22,48,25
18-Jan-2022,4,19,39,42,52,9
21-Jan-2022,38,45,46,55,67,18
25-Jan-2022,3,12,38,53,58,13
28-Jan-2022,3,16,25,44,55,13
1-Feb-2022,11,24,38,62,66,1
4-Feb-2022,7,16,34,44,61,24
8-Feb-2022,1,17,20,52,54,2
11-Feb-2022,11,16,23,24,30,24
15-Feb-2022,2,4,15,21,63,19
18-Feb-2022,6,11,50,63,68,17
22-Feb-2022,6,17,22,57,62,3
25-Feb-2022,15,31,40,56,66,4
1-Mar-2022,18,22,38,39,50,18
4-Mar-2022,11,19,28,46,47,5
8-Mar-2022,7,18,38,58,64,24
11-Mar-2022,24,28,39,44,66,25
15-Mar-2022,9,14,28,59,60,24
18-Mar-2022,2,6,25,40,45,5
22-Mar-2022,8,15,21,27,61,8
25-Mar-2022,3,13,42,51,58,17
29-Mar-2022,7,22,36,45,47,12
1-Apr-2022,26,42,47,48,63,21
5-Apr-2022,22,43,60,63,64,18
8-Apr-2022,8,11,29,32,40,2
12-Apr-2022,2,8,14,20,31,17
